"regulatoryGene","targetGene","weight"
"EEF1B2","AIF1",0.0169767159811566
"GZMB","GPR183",0.0169724725769549
"CD2","CD3E",0.0169595933076481
"GZMH","MYO1G",0.0169554834357281
"PRF1","GZMH",0.016951979186852
"CD8A","NOP53",0.0169342998483337
"FGR","GZMB",0.0169341629427171
"CD3G","IL2RA",0.0169301664400281
"KLRB1","CD3D",0.0169234895763806
"GZMH","GZMK",0.0169188645022928
"GZMB","LGALS1",0.0169175333711162
"NKG7","IL2RB",0.0169069457796749
"GZMK","ITGAM",0.0169056158317042
"EEF1B2","MYO1G",0.0169035682987836
"IL7R","GNLY",0.0168968638199532
"SAMD3","PLEK",0.0168948491488221
"CD52","IFNG",0.0168931224283113
"IL2RA","ARHGAP25",0.016889602052221
"MYO1F","ARHGAP25",0.0168800578744806
"GZMK","RPS5",0.0168793587609023
"TIGIT","APEX1",0.0168741606956742
"RACK1","CTLA4",0.0168733386967886
"TIGIT","NKG7",0.016868223649137
"TBX21","CD3G",0.0168602675990486
"CD5","FGFBP2",0.0168590532984335
"CD6","CCR7",0.0168582110919343
"ARHGAP25","EEF2",0.0168524691532702
"SAMD3","CD4",0.0168485536098183
"S1PR5","ITGB2",0.0168475199566806
"CD5","CD8B",0.0168364462916957
"AIF1","GNLY",0.016821749194704
"FGR","CD5",0.0168165185024839
"CD8A","FCMR",0.0168100707102922
"GZMB","NOP53",0.0168050428104712
"PRF1","CD2",0.0168047027129112
"MYO1F","NPM1",0.0168006362043209
"CD3G","FCGR3B",0.0167974900839243
"EEF2","LTB",0.0167929472593941
"IL2RB","CD14",0.0167836146971599
"PTPRC","CD300A",0.0167770023225022
"CD19","CD14",0.0167717487463216
"APEX1","IL17RA",0.0167677886150511
"CD3D","FGR",0.0167641636898945
"CD2","CD8B",0.0167629532250024
"VCL","FCRL3",0.0167565023660329
"EEF1B2","MYO1F",0.0167531275227299
"ITGB2","ACTN1",0.0167485008790252
"CD3E","CTLA4",0.0167456807205134
"TBX21","SAMD3",0.0167398562853648
"GZMK","GZMH",0.0167388270808112
"KLRB1","MYO1G",0.0167379745507283
"NKG7","GNLY",0.0167365127348598
"CD28","LGALS1",0.0167290313524491
"CD28","APEX1",0.0167265515141077
"NOP53","RPS5",0.0167221474174636
"RACK1","IL17RA",0.0167182313001689
"RPS8","RSL1D1",0.0167111405945673
"S1PR5","GZMH",0.0167054984862632
"TBX21","NKG7",0.0166952053023226
"FCGR3B","CD4",0.016685919339515
"MYO1F","RPS8",0.0166704214893
"IL2RA","KLRB1",0.0166592827296288
"PRF1","KLRB1",0.0166514625559702
"CD5","CD2",0.0166498675839236
"CD3D","FGFBP2",0.0166352598528418
"MYO1G","CD28",0.0166308417738632
"CD6","EEF1B2",0.0166279908207207
"CD27","GNLY",0.0166241144055536
"GZMH","PRF1",0.0166171206696865
"GZMK","GPR183",0.0166168523452685
"CD6","PLEK",0.0166028584703144
"CTLA4","CD300A",0.0165986735828058
"SAMD3","AIF1",0.0165970726840513
"CD3E","SELPLG",0.0165968325806082
"CD8A","ACTN1",0.0165963433017085
"NKG7","GZMK",0.0165763364220902
"CD3E","FCMR",0.0165701100849568
"CD300A","CTLA4",0.0165685574151107
"TIGIT","IL2RB",0.0165594661588961
"PRF1","CD52",0.0165592485197833
"CD28","PRF1",0.0165561987286831
"GPR183","GNLY",0.0165535387677561
"CD6","FGFBP2",0.0165501843309273
"KLRB1","RSL1D1",0.0165488332929143
"IL2RB","NOP53",0.0165442889772622
"PTPRC","SELPLG",0.0165420907592984
"EEF1B2","IL7R",0.0165232080872235
"PLEK","ARHGAP25",0.0165147535236039
"TIGIT","CD14",0.0165145384775551
"ARHGAP25","CD52",0.0165125237171276
"ITGAM","BIN2",0.0165105320265827
"EEF1B2","EIF3L",0.0165095890577781
"CD300A","IL17RA",0.0164941719925812
"GIMAP5","CD27",0.0164904605099422
"TBX21","RACK1",0.0164769897598813
"VCL","CD4",0.0164753688627793
"FCRL3","FCMR",0.0164753265632328
"SAMD3","CD3D",0.016473178806995
"S1PR5","GZMB",0.0164690569037772
"CD2","SELPLG",0.0164612023674363
"PTPRC","CD52",0.0164595343114044
"CD52","GZMK",0.0164593996943735
"CD5","BIN2",0.0164576613480585
"SAMD3","FLNA",0.0164532798568631
"CTLA4","RPS8",0.0164510545528667
"LTB","FGR",0.016449139695108
"IL7R","PLEK",0.0164392314881059
"FGFBP2","CD8A",0.0164334190898271
"PRF1","ZNF683",0.0164200079065636
"CD2","RPS5",0.0164185540107675
"CD3D","FCGR3B",0.0163944365498238
"CD28","NOP53",0.0163919906704968
"CD2","PTPRC",0.0163860780698948
"RACK1","BIN2",0.0163816016614433
"NPM1","MYO1F",0.0163703332886724
"MYO1F","S1PR5",0.0163675129690199
"IL7R","RPS5",0.016360747660686
"FGR","RACK1",0.0163565077578753
"EMP3","RPS8",0.0163552726208534
"KLRB1","S1PR5",0.0163534419062982
"EEF1B2","CD19",0.0163527312070649
"GZMB","CD8A",0.0163489652603782
"CD3G","GIMAP5",0.01633825908824
"GZMK","GNLY",0.0163377949632764
"FGFBP2","APEX1",0.0163371903308248
"CCR7","ACTN1",0.0163338301501556
"EEF2","IFNG",0.0163263694885848
"IL7R","RPS8",0.0163180759376305
"AIF1","CD4",0.0163148139654231
"GZMK","BIN2",0.0163118203130312
"CD3G","IFNG",0.0163093851116046
"VCL","CD8B",0.0163044883651841
"KLRB1","IL17RA",0.0162966067732689
"RPS5","EEF1B2",0.0162925232102255
"FGR","CTLA4",0.0162917781802138
"IL7R","RSL1D1",0.0162850376352445
"CD300A","ARHGAP25",0.0162827540985946
"CD52","FCGR3B",0.0162769713089985
"NOP53","SELPLG",0.0162709727315263
"BIN2","ARHGAP25",0.0162701328935106
"EIF3L","GZMB",0.0162646291273208
"CD8B","PTPRC",0.0162608525258656
"CD52","LTB",0.0162541024728995
"CD3D","TBX21",0.0162520847897776
"CD14","KLRB1",0.0162505160400775
"CD19","FCGR3B",0.01624694162388
"EEF2","FCMR",0.0162462369606723
"CD14","NOP53",0.0162243222763783
"PLEK","RPS8",0.0162168018945649
"PRF1","FGR",0.0162109219671495
"GZMK","CD52",0.0162097438873336
"CD2","FLNA",0.0162067100259667
"KLRB1","APEX1",0.0162025184752305
"IL2RB","FLNA",0.0161944308002763
"FGFBP2","IL17RA",0.0161940442981436
"LTB","SAMD3",0.0161922104142678
"CD3E","CD8A",0.0161845896099885
"NKG7","CD3D",0.0161836150022801
"CD6","CD3G",0.0161783084394639
"CD3D","CD4",0.0161710182579874
"PRF1","ITGB2",0.016170649721364
"CD8A","CD3E",0.0161705018516891
"CD69","GZMH",0.0161689220123433
