Interactor_A	Interactor_B	Score	type
713	nsp4	UBXN4	325	physical
714	M	VANGL1	309	physical
715	ORF7a	VAPA	391	physical
716	ORF7b	VAPA	348	physical
717	ORF7b	VAPB	331	physical
718	M	VEZT	363	physical
719	E	VMA21	332	physical
720	E	VRK2	382	physical
721	ORF7a	VRK2	376	physical
722	M	VRK2	374	physical
723	ORF7b	VRK2	314	physical
724	nsp6	VRK2	399	physical
725	nsp4	VRK2	307	physical
726	ORF3b	WDR11	517	physical
727	nsp6	WDR41	401	physical
728	ORF7b	YKT6	1242	physical
729	ORF7a	YKT6	1002	physical
730	E	YKT6	454	physical
731	ORF3b	YKT6	451	physical
732	ORF8	YKT6	405	physical
733	ORF6	YKT6	351	physical
734	M	YKT6	315	physical
735	nsp6	YKT6	1340	physical
736	nsp4	YKT6	865	physical
737	ORF7b	ZC3HAV1	427	physical
738	ORF7a	ZC3HAV1	402	physical
739	nsp6	ZC3HAV1	420	physical
740	nsp4	ZC3HAV1	441	physical
741	MKI67	DDX54	752.8	physical
742	MKI67	GTPBP4	742.9	physical
743	MKI67	EIF3C	551.6	physical
744	MKI67	TBRG4	398.4	physical
745	MKI67	KIAA0020	488.2	physical
746	MKI67	EHD1	547.6	physical
747	MKI67	RPL32	338.4	physical
748	MKI67	UTP18	344.1	physical
749	MKI67	NOC3L	323.6	physical
750	MKI67	DDX56	350.1	physical
751	MKI67	KNOP1	321	physical
