Interactor_A	Interactor_B	Score	type	org1	org2
304	WDR92	URI1	1945	physical	Homo sapiens	Homo sapiens
305	WDR92	WDR92	1774	physical	Homo sapiens	Homo sapiens
306	WDR92	ZNHIT2	484	physical	Homo sapiens	Homo sapiens
307	ZNHIT1	ACTL6A	1123	physical	Homo sapiens	Homo sapiens
308	ZNHIT1	ACTR6	1243	physical	Homo sapiens	Homo sapiens
309	ZNHIT1	DMAP1	959	physical	Homo sapiens	Homo sapiens
310	ZNHIT1	RUVBL1	2169	physical	Homo sapiens	Homo sapiens
311	ZNHIT1	RUVBL2	2569	physical	Homo sapiens	Homo sapiens
312	ZNHIT1	SRCAP	4568	physical	Homo sapiens	Homo sapiens
313	ZNHIT1	VPS72	529	physical	Homo sapiens	Homo sapiens
314	ZNHIT1	YEATS4	337	physical	Homo sapiens	Homo sapiens
315	ZNHIT1	ZNHIT1	442	physical	Homo sapiens	Homo sapiens
316	ZNHIT2	AAR2	560	physical	Homo sapiens	Homo sapiens
317	ZNHIT2	C2orf44	684	physical	Homo sapiens	Homo sapiens
318	ZNHIT2	CD2BP2	495	physical	Homo sapiens	Homo sapiens
319	ZNHIT2	DCAF8	332	physical	Homo sapiens	Homo sapiens
320	ZNHIT2	DDX23	587	physical	Homo sapiens	Homo sapiens
321	ZNHIT2	DHX38	308	physical	Homo sapiens	Homo sapiens
322	ZNHIT2	ECD	939	physical	Homo sapiens	Homo sapiens
323	ZNHIT2	EFTUD2	3727	physical	Homo sapiens	Homo sapiens
324	ZNHIT2	FBXO3	509	physical	Homo sapiens	Homo sapiens
325	ZNHIT2	POLDIP2	906	physical	Homo sapiens	Homo sapiens
326	ZNHIT2	PRPF6	1008	physical	Homo sapiens	Homo sapiens
327	ZNHIT2	PRPF8	4874	physical	Homo sapiens	Homo sapiens
328	ZNHIT2	RPAP3	516	physical	Homo sapiens	Homo sapiens
329	ZNHIT2	RUVBL1	2014	physical	Homo sapiens	Homo sapiens
330	ZNHIT2	RUVBL2	2054	physical	Homo sapiens	Homo sapiens
331	ZNHIT2	SART3	357	physical	Homo sapiens	Homo sapiens
332	ZNHIT2	SNRNP200	4818	physical	Homo sapiens	Homo sapiens
333	ZNHIT2	SNRNP40	816	physical	Homo sapiens	Homo sapiens
334	ZNHIT2	TCOF1	2687	physical	Homo sapiens	Homo sapiens
335	ZNHIT2	TSSC4	333	physical	Homo sapiens	Homo sapiens
336	ZNHIT2	UBR4	980	physical	Homo sapiens	Homo sapiens
337	ZNHIT2	USP9X	459	physical	Homo sapiens	Homo sapiens
338	ZNHIT2	ZNHIT2	1895	physical	Homo sapiens	Homo sapiens
339	ZNHIT3	NUFIP1	709	physical	Homo sapiens	Homo sapiens
340	ZNHIT3	PRPF19	304	physical	Homo sapiens	Homo sapiens
341	ZNHIT3	ZNHIT3	763	physical	Homo sapiens	Homo sapiens
342	ZNHIT6	ZNHIT6	984	physical	Homo sapiens	Homo sapiens
343	HRAS	HRAS	531.6222317	physical	Homo sapiens	Homo sapiens
344	KRAS	KRAS	476.9029431	physical	Homo sapiens	Homo sapiens
345	MKI67	DDX54	752.8	physical	Homo sapiens	Homo sapiens
346	MKI67	GTPBP4	742.9	physical	Homo sapiens	Homo sapiens
347	MKI67	EIF3C	551.6	physical	Homo sapiens	Homo sapiens
348	MKI67	TBRG4	398.4	physical	Homo sapiens	Homo sapiens
349	MKI67	KIAA0020	488.2	physical	Homo sapiens	Homo sapiens
350	MKI67	EHD1	547.6	physical	Homo sapiens	Homo sapiens
351	MKI67	RPL32	338.4	physical	Homo sapiens	Homo sapiens
352	MKI67	UTP18	344.1	physical	Homo sapiens	Homo sapiens
353	MKI67	NOC3L	323.6	physical	Homo sapiens	Homo sapiens
354	MKI67	DDX56	350.1	physical	Homo sapiens	Homo sapiens
355	MKI67	KNOP1	321	physical	Homo sapiens	Homo sapiens
356	MKI67	HDAC2	403.2	physical	Homo sapiens	Homo sapiens
357	MKI67	STAU1	320.3	physical	Homo sapiens	Homo sapiens
358	MKI67	PAPD5	326.1	physical	Homo sapiens	Homo sapiens
359	MKI67	UTP20	340.3	physical	Homo sapiens	Homo sapiens
360	MKI67	FXR2	313.9	physical	Homo sapiens	Homo sapiens
361	MKI67	QSER1	361.3	physical	Homo sapiens	Homo sapiens
362	MKI67	CHD8	354.1	physical	Homo sapiens	Homo sapiens
363	MKI67	ACTN4	358.7	physical	Homo sapiens	Homo sapiens
364	MKI67	SERPINB4	536.4	physical	Homo sapiens	Homo sapiens
365	MKI67	SMARCA2	541.3	physical	Homo sapiens	Homo sapiens
366	MKI67	KRT15	548.8	physical	Homo sapiens	Homo sapiens
367	MKI67	CHD3	518	physical	Homo sapiens	Homo sapiens
368	MKI67	RBMXL1	400.4	physical	Homo sapiens	Homo sapiens
369	MKI67	TUBA8	304.1	physical	Homo sapiens	Homo sapiens
370	MKI67	DNM3	653.1	physical	Homo sapiens	Homo sapiens
